route,url,status,title,primary_header,all_headers,iframe_count,embed_markers,recommended_badges,claim_risk,next_hook
/,https://romer.industries/,FETCHED,"Römer Industries | Space Mining, Future Economies & Frameworks",H2: Green Sollutions for a Space Fairing Type 1 Civilisation & Nation,H2: Green Sollutions for a Space Fairing Type 1 Civilisation & Nation | H3: What we’re building | H3: Terrestrial Restoration Programs | H3: R&D Projects | H1: Raphael | H2: RFS & EMFF Extraction & Control | H2: Resonant Frequency Sifting | H2: Electro-Magnetic Field Filtering,0,0,"PUBLIC, ROUTE HUB, REVIEW",HIGH,Add Achilles route header + boundary panel; keep existing content below.
/home,https://romer.industries/home,FETCHED,"Römer Industries | Space Mining, Future Economies & Frameworks",H2: Green Sollutions for a Space Fairing Type 1 Civilisation & Nation,H2: Green Sollutions for a Space Fairing Type 1 Civilisation & Nation | H3: What we’re building | H3: Terrestrial Restoration Programs | H3: R&D Projects | H1: Raphael | H2: RFS & EMFF Extraction & Control | H2: Resonant Frequency Sifting | H2: Electro-Magnetic Field Filtering,0,0,"PUBLIC, ROUTE HUB, REVIEW",HIGH,Add Achilles route header + boundary panel; keep existing content below.
/aus,https://romer.industries/aus,FETCHED,AUS National Capacity & Industry Capability | Drive Innovation Today — Connect and Grow — Römer Industries,H1: Securing Australia’s Sovereign Capabilities in Public & National Interest,H1: Securing Australia’s Sovereign Capabilities in Public & National Interest | H1: E.M.A.S.S.C & Römer Industries | H3: “Things are always impossible until they are not.” | H2: ‍ ‍ Römer Industries,0,0,"AUS, PUBLIC-SAFE, EVIDENCE GATE",HIGH,Add Achilles route header + boundary panel; keep existing content below.
/emassc,https://romer.industries/emassc,FETCHED,E.M.A.S.S.C | IP Custodianship & Governance Architecture — Römer Industries,H2: E = MASS . C^2,H2: E = MASS . C^2 | H2: ‍ ‍ Römer Industries,0,0,"EMASSC, CLAIMS REVIEW, NO TOKEN",HIGH,Add Achilles route header + boundary panel; keep existing content below.
/green-initiative,https://romer.industries/green-initiative,FETCHED,Green Initiative | Exampling Ecological and custodial Pathway — Römer Industries,H3: Embedded,H3: Embedded | H3: Second Cycle | H2: ‍ ‍ Römer Industries,0,0,"ECO, PUBLIC-SAFE, REVIEW",LOW,Add Achilles route header + boundary panel; keep existing content below.
/green-innitiative/embedded,https://romer.industries/green-innitiative/embedded,SEARCH_CONFIRMED_DIRECT_FETCH_404,,H1: Embedded,H1: Embedded | H2: Embedded Block Principles,,,"ECO, EMBEDDED, REVIEW",MEDIUM,Verify current Squarespace slug; attach eco/public-safe header after route resolves.
/inter-sol,https://romer.industries/inter-sol,FETCHED,InterSol | Advance Space Travel Today — Römer Industries,"H1: InterSol, proposed to be Australia’s first space port for re-usable rocketing technologies.",H1: InterSol Infrastructure Design & Location Tasked for Australian Sovereign Capacity. | H2: Facilities and Destinations | H2: ‍ ‍ Römer Industries,0,0,"INTERSOL, CONCEPT, REVIEW",HIGH,"Add concept/review gate; avoid approved-site, government, or construction-ready implication."
/contact-us,https://romer.industries/contact-us,FETCHED,Contact 1 — Römer Industries,H2: Contact Us,H2: Contact Us | H2: ‍ ‍ Römer Industries,0,0,"CONTACT, PUBLIC, SAFE",LOW,Add Achilles route header + boundary panel; keep existing content below.
/take-action,https://romer.industries/take-action,FETCHED,The Römer Industries Pivot is organised through four integrated pillars — Römer Industries,H2: Inter Sol,H2: Inter Sol | H2: R&D | H2: ‍ ‍ Römer Industries,0,0,"CONTACT, INTEREST, REVIEW",MEDIUM,Add Achilles route header + boundary panel; keep existing content below.
/operations,https://romer.industries/operations,FETCHED,Romer Industries | Portfolio Components & Drivers — Römer Industries,H3: Inter-planetary Supply Chain Network,H3: Inter-planetary Supply Chain Network | H3: RFS & EMFF Field Projetions | H3: Geostationary Luke II | H3: Incoming Deposit Analysis | H3: Asset Library | H3: Mission Mapping | H3: De-centralized | H2: ‍ ‍ Römer Industries,0,0,"OPERATIONS, INTERNAL-FIRST, REVIEW",MEDIUM,Add Achilles route header + boundary panel; keep existing content below.
/operations/w2,https://romer.industries/operations/w2,FETCHED,Geostationary Luke II — Römer Industries,H2: OPS TRACKER: W2 · LUKE II CATCH/HOLD,H3: ${x} | H1: ${c[0]} | H2: ${c[1]} | H2: RFS & EMFF Field Projetions | H2: Incoming Deposit Analysis | H2: ‍ ‍ Römer Industries,0,2,"W2, RFS/EMFF, CLAIMS BLOCKED",HIGH,Keep ops tracker visible; add claim-block and dataspace boundary panel.
/operations/w3,https://romer.industries/operations/w3,FETCHED,RFS & EMFF Field Projetions — Römer Industries,H2: OPS TRACKER: W3 · RFS & EMFF,H3: ${x} | H1: ${c[0]} | H2: ${c[1]} | H2: Inter-planetary Supply Chain Network | H2: Geostationary Luke II | H2: ‍ ‍ Römer Industries,0,2,"W3, FIELD PROJECTIONS, CLAIMS BLOCKED",HIGH,Keep W3 tracker visible; add safety/spec boundary and no-validation-claim panel.
/operations/w4,https://romer.industries/operations/w4,FETCHED,Inter-planetary Supply Chain Network — Römer Industries,H1: Market Opportunities & Growth Projections,H3: ${x} | H1: ${c[0]} | H2: ${c[1]} | H2: RFS & EMFF Field Projetions | H2: ‍ ‍ Römer Industries,0,2,"W4, SUPPLY CHAIN, MARKET REVIEW",HIGH,Add financial/market review disclaimer; avoid ROI or investment claim escalation.
/operations/w7,https://romer.industries/operations/w7,FETCHED,De-centralized — Römer Industries,H1: DECENTRALISED PUBLIC BENEFIT CONTRACT & LEDGER ARCHITECTURE,H1: DECENTRALISED PUBLIC BENEFIT CONTRACT & LEDGER ARCHITECTURE | H2: Mission Mapping | H2: ‍ ‍ Römer Industries,0,0,"W7, REGISTRY, WALLET/TOKEN LOCKED",MEDIUM,Add Achilles route header + boundary panel; keep existing content below.
/emassc-log-in,https://romer.industries/emassc-log-in,FETCHED,EMASSC Log In | IP Custodianship & Governance Architecture — Römer Industries,H3: Technological Innovations,H3: Technological Innovations | H3: Infrastructure Lenses | H3: Raphael Physics | H3: Eco Innovations | H3: Library | H3: De-Centralised | H2: ‍ ‍ Römer Industries,0,0,"LOGIN, PRIVATE, NO LIVE AUTH",MEDIUM,Add Achilles route header + boundary panel; keep existing content below.
